destination_wikidata_id,destination_name,venue_name,venue_wikidata_id,venue_category
Q41183,Aleppo,Bimaristan Arghun al-Kamili,Q12184769,historic site
Q41183,Aleppo,Souq Khan al-Wazir,Q12210194,attraction
Q41183,Aleppo,Ancient City of Aleppo,Q4115349,historic site
Q41183,Aleppo,Al-Sahibiyah Mosque,Q20410092,religious site
Q41183,Aleppo,Ummayad Mosque of Aleppo,Q1481968,religious site
Q41183,Aleppo,Citadel of Aleppo,Q206231,fortress
Q41183,Aleppo,Aleppo Citadel Museum,Q1961855,museum
Q41183,Aleppo,Khusruwiyah Mosque,Q4022689,religious site
Q41183,Aleppo,Al-Adiliyah Mosque,Q4702150,religious site
Q41183,Aleppo,Al Sultaniyeh Mosque Ruins,Q4703264,religious site
Q41183,Aleppo,Central Synagogue of Aleppo,Q5061890,religious site
Q41183,Aleppo,Al-Saffahiyah Mosque,Q4703158,religious site
Q41183,Aleppo,Al Atroush Mosque,Q4703042,religious site
Q41183,Aleppo,Al-Qaiqan Mosque,Q12204281,religious site
Q41183,Aleppo,Altun Bogha Mosque,Q12204213,religious site
Q87,Alexandria,Arab African International Bank - Alexandria Branch,Q87,historic site
Q87,Alexandria,Unknown Soldier's Tomb,Q3013168,historic site
Q87,Alexandria,Saint Catherine Church,Q1450280,religious site
Q87,Alexandria,Cathedral of Evangelismos,Q1356821,religious site
Q87,Alexandria,Greek Orthodox Church,Q251268,religious site
Q87,Alexandria,Saint Mark's Cathedral,Q1581553,religious site
Q87,Alexandria,Heptastadion,Q1246866,historic site
Q87,Alexandria,Eliyahu Hanavi Synagogue,Q1331109,religious site
Q87,Alexandria,Cavafy Museum,Q16327758,museum
Q87,Alexandria,Alexandria Opera House,Q596913,cultural site
Q87,Alexandria,Greek Orthodox church of St. Saba,Q1546313,religious site
Q87,Alexandria,El Morsi Abou El Abbas Mosque,Q1323845,religious site
Q87,Alexandria,Graeco-Roman Museum,Q1546319,museum
Q87,Alexandria,Mausoleum of Yacoub bin Abd al-Rahman,Q64076670,historic site
Q87,Alexandria,Mausoleum of Abdullah ibn Ali Zayn al-Abidin,Q64035120,historic site
Q3561,Algiers,Safir Mosque,Q25453737,religious site
Q3561,Algiers,Casbah of Algiers,Q662102,historic site
Q3561,Algiers,Mohammed Ech-Charif Mosque,Q91365438,religious site
Q3561,Algiers,Palace of the Dey,Q12232990,palace
Q3561,Algiers,El Barani Mosque,Q25453602,religious site
Q3561,Algiers,Ketchaoua Mosque,Q2471799,religious site
Q3561,Algiers,Ketchaoua Mosque,Q2471799,religious site
Q3561,Algiers,Dar Aziza,Q20971021,palace
Q3561,Algiers,Dar Hassan Bacha,Q27603011,palace
Q3561,Algiers,Djamaa El Djedid,Q12192958,religious site
Q3561,Algiers,Dar Mustapha Pacha,Q30624915,cultural site
Q3561,Algiers,Sidi Ramdan Mosque,Q25453836,religious site
Q3561,Algiers,Sidi Abderrahman Mosque,Q36698405,religious site
Q3561,Algiers,Great Mosque of Algiers,Q2386475,religious site
Q3561,Algiers,Dar Khedaoudj el Amia,Q28083468,palace
Q35493,Almaty,Төҙөүсе Зенковтар йорто,Q58232690,attraction
Q35493,Almaty,Auezov Theatre,Q258180,cultural site
Q35493,Almaty,Almaty Circus,Q205932,attraction
Q35493,Almaty,Almaty National Circus,Q205932,cultural site
Q35493,Almaty,Sesam,Q61993254,theatre
Q35493,Almaty,Auezov Kazakh Drama Theatre,Q258180,cultural site
Q35493,Almaty,Park named after Baitursynov,Q60853375,cultural site
Q35493,Almaty,Saint Nicholas Orthodox church in Almaty,Q1234917,religious site
Q35493,Almaty,Uraz Kikimovich Jandosov,Q4159882,historic site
Q35493,Almaty,Сауҙагәр Гаврилов йорто,Q60945147,historic site
Q35493,Almaty,Алматинский ботанический сад,Q4062764,cultural site
Q35493,Almaty,Golden Warrior,Q4302193,historic site
Q35493,Almaty,Monument of Independence of Kazakhstan,Q4302193,historic site
Q35493,Almaty,Kazakh State Academic Opera and Ballet House named after Abay,Q304839,cultural site
Q35493,Almaty,M. Auezov house,Q258173,cultural site
Q3805,Amman,Husseini Mosque,Q12192959,religious site
Q3805,Amman,The Duke's Diwan,Q20393489,cultural site
Q3805,Amman,Nymphaeum,Q22948574,religious site
Q3805,Amman,The hand of Hercules,Q20423672,religious site
Q3805,Amman,The Jordan Archaeological Museum,Q1444552,cultural site
Q3805,Amman,Temple of Hercules,Q20423672,religious site
Q3805,Amman,Museum Citadel,Q1444552,cultural site
Q3805,Amman,Umayyad Mosque,Q21188319,palace
Q3805,Amman,Citadel Hill,Q3157009,fortress
Q3805,Amman,Roman Theatre of Amman,Q2634316,historic site
Q3805,Amman,"Umayyad Market place ""Souk""",Q21188319,palace
Q3805,Amman,Amman Citadel,Q3157009,historic site
Q3805,Amman,forteresse d'Amman,Q3078404,fortress
Q3805,Amman,"Umayyad Market place ""Souk""",Q21188319,palace
Q727,Amsterdam,Agatha Dekenschool,Q17302742,historic site
Q727,Amsterdam,former courthouse,Q17299335,historic site
Q727,Amsterdam,dikker & thijs hotel,Q7477293,historic site
Q727,Amsterdam,Aalmoezeniersbrug,Q17291494,attraction
Q727,Amsterdam,Openbare Handelsschool,Q17302591,historic site
Q727,Amsterdam,Keizersgracht 453,Q5103309,historic site
Q727,Amsterdam,"Leidsegracht 108, Amsterdam",Q17296633,historic site
Q727,Amsterdam,Bridge 98,Q30140478,attraction
Q727,Amsterdam,Lijnbaansgracht 211-218,Q30141566,historic site
Q727,Amsterdam,Bridge 43,Q15873563,attraction
Q727,Amsterdam,Museum of the Canals,Q2574390,cultural site
Q727,Amsterdam,Bridge 102,Q30052241,attraction
Q727,Amsterdam,BorzoGallery,Q17291184,cultural site
Q727,Amsterdam,Herengracht 380,Q17287714,historic site
Q727,Amsterdam,Nieuwe Passeerdersstraat 1,Q76433163,historic site
Q39450,Anchorage,Kimball Building,Q19462770,historic site
Q39450,Anchorage,Historic City Hall,Q18706171,historic site
Q39450,Anchorage,4th Avenue Theater,Q5476012,cultural site
Q39450,Anchorage,United States Federal Building and Courthouse,Q7889880,historic site
Q39450,Anchorage,hilton anchorage,Q15180454,historic site
Q39450,Anchorage,A. E. C. Cottage No. 23,Q4647715,historic site
Q39450,Anchorage,Alaska Engineering Commission Cottage No. 25,Q4708543,historic site
Q39450,Anchorage,Tony Knowles Coastal Trail,Q7822724,historic site
Q39450,Anchorage,Leopold David House,Q18649029,historic site
Q39450,Anchorage,Anchorage,Q4752714,attraction
Q39450,Anchorage,Anchorage Rail Depot,Q4752714,attraction
Q39450,Anchorage,Oscar Anderson House Museum,Q7105860,museum
Q39450,Anchorage,McKinley Tower Apartments,Q18706047,historic site
Q39450,Anchorage,Oscar Gill House,Q19461980,historic site
Q39450,Anchorage,Anchorage Memorial Park Cemetary,Q4752726,historic site
Q3415,Ancona,Palazzo Mengoni-Ferretti,Q54863794,palace
Q3415,Ancona,Ancona city museum,Q3868073,cultural site
Q3415,Ancona,Palazzo Bosdari,Q48801187,palace
Q3415,Ancona,Ex Chiesa di Sant'Agostino,Q3672269,religious site
Q3415,Ancona,"Pinacoteca civica ""Francesco Podesti""",Q3905105,cultural site
Q3415,Ancona,Chiesa del Gesù,Q3668552,religious site
Q3415,Ancona,Museo archeologico nazionale delle Marche,Q3867709,cultural site
Q3415,Ancona,Palazzo Ferretti,Q21013396,palace
Q3415,Ancona,Palazzo del Senato,Q3891361,palace
Q3415,Ancona,Chiesa dei Santi Pellegrino e Teresa (o degli Scalzi),Q3668322,religious site
Q3415,Ancona,Anfiteatro romano di Ancona,Q3616680,historic site
Q3415,Ancona,Mole Vanvitelliana,Q3828230,historic site
Q3415,Ancona,Lazzaretto,Q3828230,attraction
Q3415,Ancona,Duomo di San Ciriaco,Q52861,religious site
Q3415,Ancona,Monumento ai Caduti,Q3862649,historic site
Q228,Andorra,"Casa Blanca, Ordino",Q5047788,historic site
Q228,Andorra,Museu Casa d'Areny-Plandolit,Q2912621,historic site
Q228,Andorra,Capella de Casa Rossell,Q27048709,religious site
Q228,Andorra,Casa Rossell,Q5047879,historic site
Q228,Andorra,Església de Sant Corneli i Sant Cebrià d'Ordino,Q21077406,religious site
Q228,Andorra,Església de Santa Bàrbara d'Ordino,Q5397746,religious site
Q228,Andorra,Sant Roc de Sornàs,Q26234545,religious site
Q228,Andorra,Santuari vell de Meritxell,Q11947716,religious site
Q228,Andorra,Our Lady of Meritxell,Q1024946,religious site
Q228,Andorra,Sant Miquel d'Ansalonga,Q26234568,religious site
Q228,Andorra,Farga Rossell,Q2912615,museum
Q228,Andorra,Sant Marc i Santa Maria,Q11947186,religious site
Q228,Andorra,Sant Ermengol,Q2324678,religious site
Q228,Andorra,Santa Eulàlia d'Encamp,Q11947521,religious site
Q228,Andorra,Sant Romà de Vila,Q18007335,religious site
Q1863,Andorra la Vella,Antiga Clínica Vilanova,Q17587042,historic site
Q1863,Andorra la Vella,Esglesia Sant Esteve de Andorra la Vella,Q63789,religious site
Q1863,Andorra la Vella,Casa Felipó,Q5047817,historic site
Q1863,Andorra la Vella,Casa de la Vall,Q1046548,historic site
Q1863,Andorra la Vella,Antiga Vegueria Francesa,Q4774732,historic site
Q1863,Andorra la Vella,Casa Cassany,Q5911250,historic site
Q1863,Andorra la Vella,Sant Andreu,Q27043086,religious site
Q1863,Andorra la Vella,Casa Duró,Q5047816,historic site
Q1863,Andorra la Vella,Casa Palmitjavila,Q5047858,historic site
Q1863,Andorra la Vella,Pont Pla,Q7228007,attraction
Q1863,Andorra la Vella,Església de Sant Romà dels Vilars,Q11251566,religious site
Q1863,Andorra la Vella,Cal Ribot,Q5018204,historic site
Q1863,Andorra la Vella,Casa Lacruz,Q5047841,historic site
Q1863,Andorra la Vella,Casa Vidal,Q5047890,historic site
Q1863,Andorra la Vella,Garatge i cinema Valira,Q37164713,historic site
Q38380,Angers,Fontaine du Pied-Boulet,Q3076275,historic site
Q38380,Angers,Palais du Tau,Q3361185,palace
Q38380,Angers,appart hotel avril de la roche,Q3145406,historic site
Q38380,Angers,Angers Cathedral,Q1191209,religious site
Q38380,Angers,Logis Pincé,Q2403516,cultural site
Q38380,Angers,La Maison d'Adam,Q3279136,historic site
Q38380,Angers,Grand Théâtre,Q3114602,cultural site
Q38380,Angers,Hôtel de Thévalle,Q3145985,historic site
Q38380,Angers,Cour des Tourelles d'Angers,Q3001040,historic site
Q38380,Angers,Grand Théâtre,Q3114602,historic site
Q38380,Angers,Hôtel de Maquillé,Q3145887,historic site
Q38380,Angers,Galeries Lafayette,Q3094687,historic site
Q38380,Angers,protestant church of Angers,Q17522387,religious site
Q38380,Angers,Logis Barrault,Q3257973,historic site
Q38380,Angers,Hôtel Crespy,Q3145824,historic site
Q3640,Ankara,Hacı Bayram Mosque,Q769575,religious site
Q3640,Ankara,MKE Sanayi ve Teknoloji Müzesi,Q56438446,museum
Q3640,Ankara,Fighting Turks in the Korean War Monument,Q12621097,historic site
Q3640,Ankara,The Heritage,Q6019569,historic site
Q3640,Ankara,Atatürk's Residence and Railway Museum,Q93514773,museum
Q3640,Ankara,TCDD Open Air Steam Locomotive Museum,Q7669659,museum
Q3640,Ankara,Ankara 19 Mayıs Stadium,Q556417,historic site
Q3640,Ankara,Gençlik Parkı,Q5533865,cultural site
Q3640,Ankara,Gençlik Parkı,Q5533865,cultural site
Q3640,Ankara,Su Perileri,Q6083344,historic site
Q3640,Ankara,Anıtkabir,Q615404,historic site
Q3640,Ankara,Ankara Vakıf Museum,Q55885994,museum
Q3640,Ankara,Anıtkabir,Q615404,historic site
Q3640,Ankara,Atatürk ve Kurtuluş Savaşı Müzesi,Q6099419,cultural site
Q3640,Ankara,Ankara Opera House,Q1110361,theatre
Q28271,Annapolis,Annapolis,Q28271,historic site
Q28271,Annapolis,Colonial Annapolis Historic District,Q5148283,historic site
Q28271,Annapolis,Maryland State House,Q1858066,historic site
Q28271,Annapolis,Old City Hall and Engine House,Q7083697,historic site
Q28271,Annapolis,Banneker-Douglass Museum,Q4856892,religious site
Q28271,Annapolis,Banneker-Douglass Museum of Afro-American Life and History,Q4856892,religious site
Q28271,Annapolis,John Callahan House,Q6224842,historic site
Q28271,Annapolis,Artisan's House,Q4801197,historic site
Q28271,Annapolis,Paca House and Garden,Q3564238,historic site
Q28271,Annapolis,Chase-Lloyd House,Q5087071,historic site
Q28271,Annapolis,"House by the ""Town Gates""",Q5914568,historic site
Q28271,Annapolis,Hammond–Harwood House,Q3126542,museum
Q28271,Annapolis,Brice House,Q4965853,historic site
Q28271,Annapolis,Stanton Center,Q7600230,historic site
Q28271,Annapolis,Upton Scott House,Q7899397,historic site
Q6487,Antalya,Yivli Minare Camii,Q1753844,religious site
Q6487,Antalya,Murat Paşa Mosque,Q3409639,religious site
Q6487,Antalya,II. Attalos,Q312431,historic site
Q6487,Antalya,Clock Tower,Q6060345,attraction
Q6487,Antalya,Kaykhusraw I,Q61591,historic site
Q6487,Antalya,Clock Tower,Q6060345,attraction
Q6487,Antalya,Tekeli Mehmet Paşa Mosque,Q1589488,religious site
Q6487,Antalya,Hadrian's Gate,Q1283114,historic site
Q6487,Antalya,Kesik Minare,Q6395079,attraction
Q6487,Antalya,Kesik Minare,Q6395079,religious site
Q6487,Antalya,Hıdırlık Tower,Q218118,historic site
Q6487,Antalya,Nâzım Hikmet,Q184906,historic site
Q6487,Antalya,Ataturk museum,Q4812882,cultural site
Q6487,Antalya,Karaalioğlu Park,Q6367585,cultural site
Q6487,Antalya,Antalya Atatürk Stadium,Q570842,historic site
Q3915,Antananarivo,Catholic Cathedral of Andohalo,Q20725766,religious site
Q3915,Antananarivo,"Saint Laurent's Cathedral, Ambohimanoro",Q24556604,religious site
Q3915,Antananarivo,Andafiavaratra,Q181663,palace
Q3915,Antananarivo,Le Grill du Rova,Q1290337,palace
Q3915,Antananarivo,Queen's Palace,Q1290337,palace
Q3915,Antananarivo,Botanical and Zoological Garden of Tsimbazaza,Q7849674,cultural site
Q3915,Antananarivo,Madagascar subhumid forests,Q859748,attraction
Q3915,Antananarivo,Iavoloha Palace,Q13107038,palace
Q781,Antigua and Barbuda,Nelson's Dockyard National Park,Q1435206,cultural site
Q781,Antigua and Barbuda,Museum Of Antigua & Barbuda,Q2912720,cultural site
Q781,Antigua and Barbuda,St. John's Cathedral,Q4265706,religious site
Q781,Antigua and Barbuda,Roman Catholic Diocese of Saint John's – Basseterre,Q875435,religious site
