festival_wikidata_id,festival_name,festival_type,destination_wikidata_id,destination_name,start_date,end_date,inception
Q21479978,Q21479978,festival,Q29,Spain,,,
Q23663377,Q23663377,festival,Q29,Spain,,,
Q23663382,Q23663382,festival,Q29,Spain,,,
Q23662928,Q23662928,festival,Q29,Spain,,,
Q23662628,Q23662628,festival,Q29,Spain,,,
Q23663529,Q23663529,festival,Q29,Spain,,,
Q23663386,"Nit de les fogueretes, Agullent",festival,Q29,Spain,,,
Q23660834,Q23660834,festival,Q29,Spain,,,
Q23661735,Q23661735,festival,Q29,Spain,,,
Q23660835,Q23660835,festival,Q29,Spain,,,
Q23662632,Q23662632,festival,Q29,Spain,,,
Q23894719,Q23894719,festival,Q29,Spain,,,
Q23661684,"Fiesta del Almendro en Flor, Tejeda",festival,Q29,Spain,,,
Q23661739,Q23661739,festival,Q29,Spain,,,
Q23663390,Q23663390,festival,Q29,Spain,,,
Q23663342,"Festes del Xop, El Palomar",festival,Q29,Spain,,,
Q23663391,Q23663391,festival,Q29,Spain,,,
Q21587742,Dau Barcelona,festival,Q29,Spain,,,2012-01-01T00:00:00Z
Q23894874,Q23894874,festival,Q29,Spain,,,
Q23663397,Carriage Parade in Pilar de la Horadada,festival,Q29,Spain,,,
Q23657059,Festival of Tourist Interest of Aragon,festival,Q29,Spain,,,
Q23663394,Q23663394,festival,Q29,Spain,,,
Q23662940,Q23662940,festival,Q29,Spain,,,
Q23662795,Q23662795,festival,Q29,Spain,,,
Q23657061,Isabel de Segura Wedding,festival,Q29,Spain,,,1997-01-01T00:00:00Z
Q23657558,Burgo de Osma Pig Slaughter Festival,festival,Q29,Spain,,,
Q23662792,Q23662792,festival,Q29,Spain,,,
Q23662957,Carnivals of Torrevieja,festival,Q29,Spain,,,
Q23657401,Q23657401,festival,Q29,Spain,,,
Q23663107,Q23663107,festival,Q29,Spain,,,
Q23663059,"Festes de Fogueres i Barraques, Sant Vicent del Raspeig",festival,Q29,Spain,,,
Q23894893,Q23894893,festival,Q29,Spain,,,
Q23663115,Q23663115,festival,Q29,Spain,,,
Q23663113,Q23663113,festival,Q29,Spain,,,
Q23891297,Q23891297,festival,Q29,Spain,,,
Q23663117,Q23663117,festival,Q29,Spain,,,
