unique_id,cluster_id
osmhub_12433641863,osmhub_12433641863
osmhub_12433648820,osmhub_12433648820
osmhub_13123783795,osmhub_13123783795
osmhub_33829701,osmhub_33829701
osmhub_165458495,osmhub_165458495
osmhub_188155929,osmhub_188155929
osmhub_249860820,osmhub_249860820
osmhub_370213709,osmhub_370213709
osmhub_485830406,osmhub_485830406
osmhub_485832865,osmhub_485832865
osmhub_487646319,osmhub_487646319
osmhub_550677039,osmhub_550677039
osmhub_600458661,osmhub_600458661
osmhub_708175581,osmhub_708175581
osmhub_980556354,osmhub_980556354
osmhub_1219961835,osmhub_1219961835
osmhub_6332911,osmhub_6332911
osmhub_21499747,osmhub_21499747
osmhub_21531324,osmhub_21531324
osmhub_255857557,osmhub_255857557
osmhub_444440220,osmhub_444440220
osmhub_2165689419,osmhub_2165689419
osmhub_2187002383,osmhub_2187002383
osmhub_3196927064,osmhub_3196927064
osmhub_3197009928,osmhub_3197009928
osmhub_3409665883,osmhub_3409665883
osmhub_3409666220,osmhub_3409666220
osmhub_4194683810,osmhub_4194683810
osmhub_5705904208,osmhub_5705904208
osmhub_7149963979,osmhub_7149963979
osmhub_7197531028,osmhub_7197531028
osmhub_7200937621,osmhub_7200937621
osmhub_7209363760,osmhub_7209363760
osmhub_7944533379,osmhub_7944533379
osmhub_8265347418,osmhub_8265347418
osmhub_10099180801,osmhub_10099180801
osmhub_10099272769,osmhub_10099272769
osmhub_13786932611,osmhub_13786932611
osmhub_53828015,osmhub_53828015
osmhub_379088141,osmhub_379088141
osmhub_422094827,osmhub_422094827
osmhub_680311152,osmhub_680311152
osmhub_948478893,osmhub_948478893
osmhub_768587597,osmhub_768587597
osmhub_1625055311,osmhub_1625055311
osmhub_1629689395,osmhub_1629689395
osmhub_2443736823,osmhub_2443736823
osmhub_2489277836,osmhub_2489277836
osmhub_2493732230,osmhub_2493732230
osmhub_2608400470,osmhub_10918360283
osmhub_3017000090,osmhub_3017000090
osmhub_3017000093,osmhub_3017000093
osmhub_3017000121,osmhub_3017000121
osmhub_3283752974,osmhub_3283752974
osmhub_3319166947,osmhub_3319166947
osmhub_3438394646,osmhub_10918360283
osmhub_3605638544,osmhub_3605638544
osmhub_3787272840,osmhub_3787272840
osmhub_3929770996,osmhub_3929770996
osmhub_4049293628,osmhub_4049293628
osmhub_4049293629,osmhub_4049293629
osmhub_4049293631,osmhub_4049293631
osmhub_4049389786,osmhub_4049389786
osmhub_4049389787,osmhub_4049389787
osmhub_4049389788,osmhub_4049389788
osmhub_4107240493,osmhub_4107240493
osmhub_4268416958,osmhub_4268416958
osmhub_4323525302,osmhub_4323525302
osmhub_4331386438,osmhub_4331386438
osmhub_4381083706,osmhub_4381083706
osmhub_4449384525,osmhub_4449384525
osmhub_4449390497,osmhub_3787272840
osmhub_4614098915,osmhub_4614098915
osmhub_4766206131,osmhub_10076454831
osmhub_4768904825,osmhub_4768904825
osmhub_4852197024,osmhub_4852197024
osmhub_4961941421,osmhub_4961941421
osmhub_4988571123,osmhub_4988571123
osmhub_5076847221,osmhub_11525275069
osmhub_5143778943,osmhub_5143778943
osmhub_5147952122,osmhub_5147952122
osmhub_5151223622,osmhub_5147952122
osmhub_5156837725,osmhub_5156837725
osmhub_5172783324,osmhub_5172783324
osmhub_5204765222,osmhub_5204765222
osmhub_5213164336,osmhub_5213164336
osmhub_5213164346,osmhub_5213164346
osmhub_5234781231,osmhub_5234781231
osmhub_5390465856,osmhub_11525275069
osmhub_5425049447,osmhub_393063688
osmhub_5425049474,osmhub_10918360283
osmhub_5664228622,osmhub_10076454831
osmhub_5747512521,osmhub_13605353901
osmhub_5761221821,osmhub_393063688
osmhub_5811695064,osmhub_5811695064
osmhub_5922759985,osmhub_5922759985
osmhub_5924041464,osmhub_5924041464
osmhub_5924041483,osmhub_5924041483
osmhub_5924247078,osmhub_5924041464
osmhub_5924328350,osmhub_5924328350
osmhub_5924347771,osmhub_5924041464
osmhub_5924347777,osmhub_5924041464
osmhub_5924347778,osmhub_5924041464
osmhub_5924348085,osmhub_5924041464
osmhub_5924348087,osmhub_5924041464
osmhub_5924351520,osmhub_3017000121
osmhub_5924383982,osmhub_5924383982
osmhub_5924443733,osmhub_5924443733
osmhub_5924562695,osmhub_5924041464
osmhub_5926480135,osmhub_5924041464
osmhub_5926480403,osmhub_5926480403
osmhub_5926480420,osmhub_5926480420
osmhub_5927009522,osmhub_5927009522
osmhub_5927110646,osmhub_5924041464
osmhub_5927110647,osmhub_5924041464
osmhub_5927110648,osmhub_5924041464
osmhub_5927110649,osmhub_5927110649
osmhub_5927563654,osmhub_5927563654
osmhub_5929228266,osmhub_4331386438
osmhub_5931188257,osmhub_5931188257
osmhub_5934289367,osmhub_5934289367
osmhub_5934771138,osmhub_5934289367
osmhub_5934881439,osmhub_5934289367
osmhub_5936638126,osmhub_5934289367
osmhub_5937222282,osmhub_5937222282
osmhub_5939133358,osmhub_5939133358
osmhub_5940568186,osmhub_5940568186
osmhub_5957424026,osmhub_5957424026
osmhub_5961735082,osmhub_5961735082
osmhub_5964487275,osmhub_5964487275
osmhub_5964487436,osmhub_5964487436
osmhub_5964557471,osmhub_5964557471
osmhub_5964688386,osmhub_5964688386
osmhub_5964688387,osmhub_5964688386
osmhub_5965102423,osmhub_5964487275
osmhub_5965102537,osmhub_5964557471
osmhub_5969138186,osmhub_5969138186
osmhub_6040189021,osmhub_6040189021
osmhub_6193726957,osmhub_6193726957
osmhub_6193726958,osmhub_6193726957
osmhub_6400593388,osmhub_6400593388
osmhub_6423210652,osmhub_6423210652
osmhub_6463975122,osmhub_402531561
osmhub_6552963485,osmhub_6552963485
osmhub_6681107257,osmhub_6681107257
osmhub_6863779402,osmhub_6863779402
osmhub_6863792670,osmhub_393063688
osmhub_6978399880,osmhub_6978399880
osmhub_6978433187,osmhub_393063688
osmhub_7013408877,osmhub_393063688
osmhub_7016352206,osmhub_393063688
osmhub_7036545485,osmhub_5924041464
osmhub_7036612585,osmhub_393063688
osmhub_7046900012,osmhub_7046900012
osmhub_7046900014,osmhub_7046900012
osmhub_7056430421,osmhub_7056430421
osmhub_7061678887,osmhub_393063688
osmhub_7071674546,osmhub_393063688
osmhub_7079693846,osmhub_10918360283
osmhub_7079782626,osmhub_7079782626
osmhub_7079782627,osmhub_7079782626
osmhub_7091432755,osmhub_7091432755
osmhub_7139357885,osmhub_10076454831
osmhub_7166952559,osmhub_2489277836
osmhub_7191232916,osmhub_7191232916
osmhub_7499126186,osmhub_7499126186
osmhub_7833549605,osmhub_7833549605
osmhub_7834978085,osmhub_10293470016
osmhub_7958756175,osmhub_393063688
osmhub_8120036617,osmhub_393063688
osmhub_8209379317,osmhub_8209379317
osmhub_8292602317,osmhub_393063688
osmhub_8345987607,osmhub_8209379317
osmhub_8455777218,osmhub_10076454831
osmhub_8455777418,osmhub_4961941421
osmhub_8665429394,osmhub_8665429394
osmhub_9189537851,osmhub_3017000093
osmhub_9981303917,osmhub_9981303917
osmhub_9988415343,osmhub_4049389787
osmhub_10012828419,osmhub_10012828419
