cluster_id,n_nodes,n_edges,density,cluster_centralisation
osm_1725251808,1,0.0,,
osm_4993589334,1,0.0,,
osm_1021349151,1,0.0,,
osm_1365186863,1,0.0,,
osm_6281149878,1,0.0,,
osm_357358593,1,0.0,,
osm_3798708568,1,0.0,,
osm_790706288,1,0.0,,
osm_6314547124,1,0.0,,
osm_1157032145,1,0.0,,
osm_4803338592,1,0.0,,
osm_4406946894,1,0.0,,
osm_2691238873,1,0.0,,
osm_5775182553,1,0.0,,
osm_602165422,1,0.0,,
osm_250132315,1,0.0,,
osm_4162257789,1,0.0,,
osm_1285468741,1,0.0,,
np_Q1140663,1,0.0,,
np_Q50350469,1,0.0,,
np_Q4209017,1,0.0,,
np_Q16507344,1,0.0,,
np_Q7300845,1,0.0,,
np_Q16901975,1,0.0,,
ta_Q61483227,1,0.0,,
ta_Q4574142,1,0.0,,
ta_Q18157259,1,0.0,,
osm_779727669,1,0.0,,
osm_358687456,1,0.0,,
osm_1675862241,1,0.0,,
osm_3266429248,1,0.0,,
osm_5612187324,1,0.0,,
osm_353935943,1,0.0,,
osm_2511971516,1,0.0,,
osm_356552640,1,0.0,,
osm_357351688,1,0.0,,
osm_4832074983,1,0.0,,
osm_354697550,1,0.0,,
osm_1115890353,1,0.0,,
osm_12037953710,1,0.0,,
osm_246285619,1,0.0,,
osm_4218594715,1,0.0,,
osm_715290197,1,0.0,,
osm_3758222384,1,0.0,,
osm_255477008,1,0.0,,
osm_7139416964,1,0.0,,
osm_976087512,1,0.0,,
np_Q139540266,1,0.0,,
np_Q139743446,1,0.0,,
np_Q1547654,1,0.0,,
osm_10120531179,1,0.0,,
osm_956716501,1,0.0,,
osm_7417336968,1,0.0,,
osm_4038448897,1,0.0,,
osm_529747287,1,0.0,,
osm_573804783,1,0.0,,
osm_358735173,1,0.0,,
osm_274835191,1,0.0,,
osm_1109193462,1,0.0,,
osm_2883010276,1,0.0,,
osm_4212119892,1,0.0,,
osm_759520033,1,0.0,,
osm_2645837778,1,0.0,,
osm_356554008,1,0.0,,
osm_356817676,1,0.0,,
osm_1656468100,1,0.0,,
osm_9872620649,1,0.0,,
osm_308974871,1,0.0,,
osm_8302343817,1,0.0,,
osm_3211765151,1,0.0,,
osm_368864509,1,0.0,,
osm_138174477,1,0.0,,
osm_1141898016,1,0.0,,
osm_233913369,1,0.0,,
osm_901957722,1,0.0,,
osm_4788682523,1,0.0,,
osm_4980374226,1,0.0,,
osm_945219207,1,0.0,,
osm_4306152089,1,0.0,,
np_Q30015343,1,0.0,,
np_Q19794476,1,0.0,,
ta_Q12333448,1,0.0,,
ta_Q107462347,1,0.0,,
ta_Q864767,1,0.0,,
ta_Q1877222,1,0.0,,
osm_3782945129,1,0.0,,
osm_358685775,1,0.0,,
osm_768118856,1,0.0,,
osm_550276533,1,0.0,,
osm_2892192387,1,0.0,,
osm_365774201,1,0.0,,
osm_168411677,1,0.0,,
osm_354101853,1,0.0,,
osm_357480425,1,0.0,,
osm_5208073764,1,0.0,,
osm_1970696196,1,0.0,,
osm_7994188059,1,0.0,,
osm_683580260,1,0.0,,
osm_387772360,1,0.0,,
osm_1187914062,1,0.0,,
osm_356825933,1,0.0,,
osm_356827069,1,0.0,,
osm_4224202990,1,0.0,,
osm_9951293312,1,0.0,,
osm_1771598124,1,0.0,,
osm_10138200416,1,0.0,,
osm_3128066714,1,0.0,,
osm_383777509,1,0.0,,
osm_685162806,1,0.0,,
osm_1877450883,1,0.0,,
osm_13312121768,1,0.0,,
osm_10744551339,1,0.0,,
osm_4270100319,1,0.0,,
osm_357373365,1,0.0,,
osm_428174586,1,0.0,,
osm_4649368790,1,0.0,,
osm_407704884,1,0.0,,
osm_6359971826,1,0.0,,
osm_4502365017,1,0.0,,
osm_451103955,1,0.0,,
osm_11261235413,1,0.0,,
osm_441699682,1,0.0,,
osm_3174630902,1,0.0,,
osm_2347512633,1,0.0,,
osm_4381244091,1,0.0,,
osm_4175626797,1,0.0,,
osm_2979769135,1,0.0,,
osm_356559473,1,0.0,,
osm_627833743,1,0.0,,
osm_664480783,1,0.0,,
np_Q30015767,1,0.0,,
np_Q19819169,1,0.0,,
np_Q121609605,1,0.0,,
ta_Q19881775,1,0.0,,
ta_Q2253091,1,0.0,,
ta_Q1453739,1,0.0,,
ta_Q3637062,1,0.0,,
ta_Q3813382,1,0.0,,
ta_Q23814671,1,0.0,,
osm_171229090,1,0.0,,
osm_1800191916,1,0.0,,
osm_361073044,1,0.0,,
osm_1254658870,1,0.0,,
osm_358034527,1,0.0,,
osm_633024898,1,0.0,,
osm_6187285685,1,0.0,,
osm_4456873899,1,0.0,,
osm_12143243737,1,0.0,,
osm_357286520,1,0.0,,
osm_812673305,1,0.0,,
osm_759849792,1,0.0,,
osm_1587309832,1,0.0,,
osm_4318090970,1,0.0,,
osm_1414737306,1,0.0,,
osm_1701686125,1,0.0,,
osm_1592272740,1,0.0,,
osm_357783086,1,0.0,,
