cluster_id,unique_id,activity_wikidata_id,name,name_clean,activity_type,destination_id,destination_name,lat,lon
act_Q2264395,act_Q2264395,Q2264395,Sidmant el-Gebel,sidmant el-gebel,Archaeological Site,Q79,Egypt,29.085555555,30.934444444
act_Q1569654,act_Q1569654,Q1569654,Pyramid of Djedefre,pyramid of djedefre,Archaeological Site,Q79,Egypt,30.032222,31.074722
act_Q1004589,act_Q1555589,Q1555589,Mastaba of Hesy-Re,mastaba of hesy-re,Archaeological Site,Q79,Egypt,29.8685,31.21863333
act_Q1432763,act_Q749187,Q749187,Girga,girga,Archaeological Site,Q79,Egypt,26.338333333,31.891666666
act_Q1555240,act_Q1555240,Q1555240,Gurob,gurob,Archaeological Site,Q79,Egypt,29.2,30.95
act_Q101583,act_Q750209,Q750209,Colossi of Memnon,colossi of memnon,Archaeological Site,Q79,Egypt,25.720555555,32.610555555
act_Q2342025,act_Q2342025,Q2342025,Q2342025,q2342025,Archaeological Site,Q399,Armenia,39.43472222,45.92638889
act_Q134140,act_Q3114835,Q3114835,Great Temple of Abu Simbel,great temple of abu simbel,Archaeological Site,Q79,Egypt,22.3369,31.6255
act_Q101583,act_Q2385399,Q2385399,TT33,tt33,Archaeological Site,Q79,Egypt,25.734571,32.612343
act_Q2859104,act_Q2859104,Q2859104,Aq Köprük,aq köprük,Archaeological Site,Q889,Afghanistan,36.05,66.51
act_Q2001444,act_Q2418611,Q2418611,Tumuli of Bonlez,tumuli of bonlez,Archaeological Site,Q31,Belgium,50.69722,4.70722
act_Q2883627,act_Q2883627,Q2883627,Bawit,bawit,Archaeological Site,Q79,Egypt,27.55,30.720833333
act_Q2894681,act_Q2894681,Q2894681,Belle-Roche cave,belle-roche cave,Archaeological Site,Q31,Belgium,50.4812,5.61276
act_Q1899395,act_Q2595945,Q2595945,Tumulus of Vissoul,tumulus of vissoul,Archaeological Site,Q31,Belgium,50.59766,5.13077
act_Q2593345,act_Q2593345,Q2593345,Takht-e Rostam,takht-e rostam,Archaeological Site,Q889,Afghanistan,36.245711111,68.022133333
act_Q1476222,act_Q2152707,Q2152707,Agilkia island,agilkia island,Archaeological Site,Q79,Egypt,24.0252109,32.8842688
act_Q2001444,act_Q2643327,Q2643327,Tumuli of Noirmont,tumuli of noirmont,Archaeological Site,Q31,Belgium,50.602223,4.64329
act_Q2550254,act_Q2550254,Q2550254,St. Donatian's Cathedral,st donatian's cathedral,Archaeological Site,Q31,Belgium,51.20916667,3.22722222
act_Q1899395,act_Q2527398,Q2527398,Tumulus of Avennes,tumulus of avennes,Archaeological Site,Q31,Belgium,50.63457,5.12807
act_Q1899395,act_Q2689699,Q2689699,Tumulus of Middelwinden,tumulus of middelwinden,Archaeological Site,Q31,Belgium,50.76154,5.04359
act_Q1899395,act_Q2583526,Q2583526,Sinte-Gitter,sinte-gitter,Archaeological Site,Q31,Belgium,50.746181,5.063531
act_Q2822088,act_Q2822088,Q2822088,Abu Madi,abu madi,Archaeological Site,Q79,Egypt,28.5555,33.9762
act_Q1899395,act_Q2691955,Q2691955,tumulus of Waesmont,tumulus of waesmont,Archaeological Site,Q31,Belgium,50.73161,5.04863
act_Q12236559,act_Q2671839,Q2671839,Catacombs of Kom el Shoqafa,catacombs of kom el shoqafa,Archaeological Site,Q79,Egypt,31.186944,29.904722
act_Q101583,act_Q2385404,Q2385404,TT37,tt37,Archaeological Site,Q79,Egypt,25.73473659,32.611761881
