cluster_id,unique_id,festival_id,name_clean,name,festival_type,destination_id,destination_name,start_date,end_date
fest_Q137545685,fest_Q137545685,Q137545685,maengbang yuchae flower village,Maengbang Yuchae Flower Village,Festival,Q884,South Korea,,
fest_Q27049481,fest_Q27049481,Q27049481,stična of the youth,Stična of the Youth,Festival,Q215,Slovenia,,
fest_Q66604982,fest_Q66604982,Q66604982,moengo festival,Moengo Festival,Festival,Q730,Suriname,,
fest_Q47128911,fest_Q47128911,Q47128911,festival of our lady of the forsaken in jérica,Festival of Our Lady of the Forsaken in Jérica,Festival,Q29,Spain,,
fest_Q123053262,fest_Q123053262,Q123053262,beopseongpo danoje,Beopseongpo Danoje,Festival,Q884,South Korea,,
fest_Q78847112,fest_Q78847112,Q78847112,dferia,dFERIA,Festival,Q29,Spain,,
fest_Q50996351,fest_Q50996351,Q50996351,festival de videojuegos y cultura asiática de sevilla,Festival de Videojuegos y Cultura Asiática de Sevilla,Festival,Q29,Spain,,
fest_Q137427845,fest_Q137427845,Q137427845,changnyeong nakdong river canola flower festival,Changnyeong Nakdong River Canola Flower Festival,Festival,Q884,South Korea,,
fest_Q123053215,fest_Q123053215,Q123053215,jwasuyeong eobangnori,Jwasuyeong eobangnori,Festival,Q884,South Korea,,
fest_Q66712801,fest_Q66712801,Q66712801,srefidensi dey,Srefidensi Dey,Festival,Q730,Suriname,,
fest_Q137926467,fest_Q137926467,Q137926467,festas de maría pita,Festas de María Pita,Festival,Q29,Spain,,
fest_Q78847864,fest_Q78847864,Q78847864,fira b,Fira B!,Festival,Q29,Spain,,
fest_Q26713999,fest_Q26713999,Q26713999,graška gora poje in igra,Graška Gora poje in igra,Festival,Q215,Slovenia,1976-01-01,
fest_Q104519344,fest_Q104519344,Q104519344,encierros de guadalajara,Encierros de Guadalajara,Festival,Q29,Spain,,
fest_Q125400595,fest_Q125400595,Q125400595,feria de la miel,Feria de la Miel,Festival,Q29,Spain,,
fest_Q137531733,fest_Q137531733,Q137531733,miryang arirang festival,Miryang Arirang Festival,Festival,Q884,South Korea,,
fest_Q117815241,fest_Q117815241,Q117815241,los zarramaches casavieja,"Los Zarramaches, Casavieja",Festival,Q29,Spain,,
fest_Q118727089,fest_Q118727089,Q118727089,festa de la farigola,Festa de la Farigola,Festival,Q29,Spain,,
fest_Q81723491,fest_Q81723491,Q81723491,riverland fest,Riverland Fest,Festival,Q29,Spain,,
fest_Q123053220,fest_Q123053220,Q123053220,miryang baekjung nori,Miryang Baekjung Nori,Festival,Q884,South Korea,,
fest_Q131766833,fest_Q131766833,Q131766833,festival alcalá música antigua,Festival Alcalá Música Antigua,Festival,Q29,Spain,,
fest_Q52884919,fest_Q52884919,Q52884919,sofia underground,Sofia Underground,Festival,Q472,Sofia,,
fest_Q78847431,fest_Q78847431,Q78847431,galicia escena pro,Galicia Escena PRO,Festival,Q29,Spain,,
fest_Q3092925,fest_Q3092925,Q3092925,fiestas del pilar,Fiestas del Pilar,Event,Q29,Spain,,
fest_Q136947818,fest_Q136947818,Q136947818,gangju sunflower festival,Gangju Sunflower Festival,Festival,Q884,South Korea,,
fest_Q118453305,fest_Q118453305,Q118453305,open houses slovenia,Open Houses Slovenia,Festival,Q215,Slovenia,,
fest_Q137531648,fest_Q137531648,Q137531648,chodong yeongagil festival,Chodong Yeongagil Festival,Festival,Q884,South Korea,,
fest_Q123564264,fest_Q123564264,Q123564264,circada,Circada,Festival,Q29,Spain,,
fest_Q137786920,fest_Q137786920,Q137786920,adela festival of generative arts 2025,ADELA Festival of Generative Arts 2025,Festival,Q215,Slovenia,,
fest_Q98534687,fest_Q98534687,Q98534687,classics in alcalá,Classics in Alcalá,Festival,Q29,Spain,,
fest_Q41799347,fest_Q41799347,Q41799347,marabili festival,Marabili festival,Festival,Q29,Spain,,
fest_Q43117015,fest_Q43117015,Q43117015,mladi levi festival,Mladi levi festival,Festival,Q215,Slovenia,,
